CLOUD,Targets,Transporters,Enzymes,Carriers
CLOUD093,185,1244;1244;28234;10599;213,28234,10599;213
CLOUD094,,,240;5742;590,
CLOUD095,1636;623;10242;59272,,,
CLOUD096,6571;1813;6570;2737,,1565;873,
CLOUD097,1136;5784;8732;9373,,249;248,
CLOUD098,1135;1139;1137;1141,,,
CLOUD099,,,4128;7498;1545;1544;246,
CLOUD100,554;552,5243;5243,1576;5243;5243,5243;5243
CLOUD101,2100;2104;2099;7031;2101;8856;3725;3458;5893;367;5914;7067;672;7334;6311;29994;2737;317;387129;4929;580;7137;3784;2671;6095;7376;6097;2516;7253;5338;5467;7134;55775;4193;4194;7139;3172;3174;5871;6256;7025;5241;7421,,1588;3417;5337,6462
CLOUD102,3614;3458;29994;4780;2101;196;216;8795;55775;3043;9970;7157,9376;9376;10257;10057;9153;64078;2030;3177,3251;5471;7172;7498;316;9376;9376;2030;1544;1557;1559;1565;1576;3417,
CLOUD103,,,1576;1576;1577;1555;1555;1559;1557;1557;1565;1565,
CLOUD104,3458,54658;5243;1244;9429;10599,3156;1576;1576;1576;1577;1551;1558;1558;1565;1557;1559;1559;1555;54658;5243,5243;10599
CLOUD105,8639;5033;4864;5315;79915;6607;9367;7066,,1576;4353;1544;1559;1557;1565,
CLOUD106,2908;3553;2737;3676;151306;4780;367;3569;4306;6868;2101;1080;5241;2099;2100,6579;5243,1576;1576;1548;5243;2752,5243;866
CLOUD107,4543;4544,,1544;1557;1576,
CLOUD108,,6529;54658,1576;54658,
CLOUD109,1813;1812;150;148;1128;2554;3356;3358;3362;3363;1814;1815;3269;148;1128;3357;3359;3350;3351;150;59340;2554;146;151;152;7066;2737;2099;3778;3779;3725;2908;55775;1129;10242;1131;1132;1133;367;7157;3064;7421,6530;6532;6531;3757;5243,1565;1544;1588;5243,5004;5243
CLOUD110,148;147;146;81033;90134;150;151;152;3064,3757;5243;6580;60482,5243;1544;1557;1559;1565;1576,5243;6580
CLOUD111,10242,,1576;1576;1577;1555;1555;1559;1557;1557;1565;1565,
CLOUD112,3065;3066;8841;10013;55869;3458;81027;9734;51053;10376;9611;9612;79885;10382;10383;8856;5914;10014;9759;7846;7849;79915;4780;2737;2099;2101;84790;84617;1080;55775;203068;4286;7157;112714;4194;10381;347733;2395;2908;83933;4193;1636;390245;51564;7277;367;7280;347688;9970;190,,1576,
CLOUD113,367;2737;554;4780;3791;1233;2099;2100;2101;9971;3577;2534,5243,1595;1577;1551;1576;1576;1565;1555;1543;1571;5243,5243
CLOUD114,3815;3815;5979;4914;1436;5156;780;25;5159;640;768;771;5894;763;7297;51086;2322;2580;1432;27;3055;673;147746;2268;79837;1195;9263;57396;3356;4921;6714;55775;51776;6850;3654;1956;2444;3274;3791;23632;4088;23097;57551;3932;5599;5601;5602;4067;11238;2534;9833;7525;2810;10733;613;2139;766;1487;760;761;762;765;2046;6916,6580;6580;5243;5243;6582;9429;9429;21;213;6532;146802;6581;55244,1576;1576;1577;1577;1551;1551;1544;1559;1559;1565;1565;1557;5742;5243;5243;55244;4835;759,6580;6580;5243;5243;6582;213;5004;55244
CLOUD115,1786;29128;8202;7066;7157;672;2597;79915;4780;2737;2101;2100;4286;580;8648;5914;4088;2516;216;2908;55775;4193;4194;3043;6097;51053;367;9971;2494;3064;1788,,978;1588;3417;5621,
CLOUD116,1134;1140;1144;1146;1145;1135;1136;1137;1138;8973;1139;55584;57053;1141;1142;1143;196,,43;590;1576;1565,
CLOUD117,7150;116447;3458;1132;152;55775;4312,54658;6581;10599;4363;9429;5243;1244;213;55244;146802;6580;6582,1576;1576;1577;1555;1551;54658;54600;1066;8824;590;5243;43;55244,10599;5243;213;55244;6580;6582
CLOUD118,3274,5243,590;5243,5243
CLOUD119,2280;2281;2475;367;2289;8856;5530;23450;55775,5243;5243;5243;23461;213;10599,1551;1577;1576;1576;5243;5243;5243,5243;5243;5243;213;5004;10599
CLOUD120,,6573,,6573
CLOUD121,51185;7124;4790;2263;5999;6000;85397;2775;1080;9978,5243,5743;1557;1557;1543;1571;1559;5742;5743;1577;1544;5243,5004;5243
CLOUD122,10846;5141;1827;58497;10411;11069;5143;5136;5137;5138;5139;5140;5142;5144;5145;5146;5147;7068;5150;5151;5153;5158;5148;79915;4780;5149;2737;1813;7134;64127;8767;7201;9817;247;3276;2770;7251;7253;472;2648;54106;55775;7137;7139;7398;57192;5347;27115;51053;1393;6002;1395;7157;3320;1812;50940;2101;3326,10257;10057;5243;5243;222962;6582;55244;2030,100;8654;5243;5243;1557;1559;1565;1576;55244;2030,5004;5243;5243;6582;55244
CLOUD123,1181,,873,
CLOUD124,153;154;140;155,5243,5243,5243
CLOUD125,148;150;3269;3274;152;151;134864;146;147,,,
CLOUD126,1812;3357;3362;1814;3356;7421;1813;150;151;216;3354;5999;3355;3358,,1576;1576;1565,
CLOUD127,3758;5972,,5742,
CLOUD128,573971,,1719;1719;1557;1565;1544;1559;1571;1576,
CLOUD129,3039;135;2741;3458;55775;65975,5243;3757,1576;1576;590;1588;1565;43;5243,5243
CLOUD130,196;3725;2099;5914,,1576;1576;1565,
CLOUD131,,,,
CLOUD132,3458;55847;4137,6261,1576;1544;1557;1559;1565,
CLOUD133,148;147;153;154;150;151;146;152;155;7124;3091;1813;2597;4137;2475;4780;2101;2237;23632;7253;55775;51426;1812;762;7421,6582;6582;6580;6580;6584,5053;6647;1544;1559;1576;759,6582;6582;6580;6580
CLOUD134,3356;3358;3350;3269;148;150;1814;10280;152;146;1812;151;2648;3357,6532;5243,1576;1577;1551;1565;5243,5243;5004
CLOUD135,,5243,4129;4128;5243,5243
CLOUD136,367;196;8856;4780;2737;2099;2101;5241;2395;55775,,1576;1544;1544;1543;1545;1545;1557;1577,
CLOUD137,1135,,1576,
CLOUD138,1814,,100,
CLOUD139,81027;596;4133;4134;4137;8856;3458;367;9970;2099;7157;5914;55775;2908;2101,5243;89845;28234;10864;9429;1244;4363,1576;1576;1577;1551;1545;1545;1545;5243;28234,5243
CLOUD140,,476,,476
CLOUD141,4137;4864;23576;2194;9367;5914;2671;162466;29994;4780;2101;5305;5999;196;4170;3276;5347;55775;496;9970;5468;7421,495;5243;5243;9429;476,1576;1576;1576;1557;1557;1559;1559;1559;1543;1544;1545;1562;1558;1558;1565;1579;5243;5243;486;246,5243;5243;476;477;478;480;481;482;483;486
CLOUD142,367;196;8856;13;5914;3362;4780;3630;2737;2099;2101;2100;3778;6097;55775;6256;9970,5243,1576;1544;1544;1543;1545;1545;1557;1577;1559;1588;8824;5243,5243
CLOUD143,1131;7846;10383;10383;3458;3717;9734;2831;3354;9971;2847;79915;688;2737;2099;2101;65975;351;203068;196;5914;5468;55775;51053;367;9970;3315;7157;7421,5243,1576;1543;1544;1544;1544;5243,5243
CLOUD144,573971;2737;10951;367;6256,5243;5243,7298;1719;1559;1559;1576;1558;1558;5243;5243;1544;1557;1565,5243;5243
CLOUD145,6335;6328;6336;768;771;11238;377677;23632;760;761;762;763;765;766;6323,,759,
CLOUD146,3106,54658;8714;4363;1244;213,130;54658;132,213
CLOUD147,5739;5731;5141;5142;5143;5144;5327;11251,11309;6578;28232,,11309
CLOUD148,5564;53632;5571;5562;5563;5565;51422,6580;6580;6582;6582;6581;55244;222962;146802,55244;1803,6580;6580;6582;6582;55244
CLOUD149,6331;6335;1132;3676;6329,3757,1576;1565,
CLOUD150,2932;3612;3613;2892,,,
CLOUD151,2099;2101,,1576;1544;1557;64816;1577;1551,
CLOUD152,7846;203068;51174;7283;51175;3725;3458;81027;10376;84617;10381;10382;10383;347688;84790;65975;112714;347733;7277;7280;6916,5243;5243;5243;4363;4363;4363;1244;1244;1244;368;8647;8647;28234;10599,1576;1576;1565;1565;5243;5243;5243;28234,5243;5243;5243;10599
CLOUD153,1814,,,
CLOUD154,,29881;54658;5243;1244;10599;64240;8714;9429;64241,6646;290;1558;54658;54659;7366;7364;1576;5243,5243;10599
CLOUD155,6326;134;135;148;150;153;1812;1813;2554;2554;3269;4986;1128;3356;3359;361;6335;6328;6329;6331;6323,777;54658;54658;5243,54657;1719;54659;54658;54658;5243;1544;1559;1576;1565;1557,5243
CLOUD156,7153,,1544,
CLOUD157,3777;51305,,1565,
CLOUD158,140;4780;3725;2737;2099;2100;2101;367,,1565;1559;1557,
CLOUD159,8972;8972;2548;23193;2595;6476;259249;187,,279,
CLOUD160,23569;7941;5778;156;2099;2100;4170;3320;598;2150;3064;5499;3326,9356;9376;9376;55867;10864;213,5621;1576;1576;9356;9376;9376;1544;1557;1559;1565;9446;6647,213
CLOUD161,60489;3676,,,
CLOUD162,,,1373,
CLOUD163,6833;5468;27345;3767,10257;6566;6564;6565;9356;213,1559;1576;1577;1551;5742;54600;1565;9356;1544;1557,213;5004
CLOUD164,26986;3205,,1576,
CLOUD165,3614;3615;3458;2099;2101;65975;6606;6607;5468;6622;55775;4193;4194;367;9970;7157,54658,54658;54600;7364;54577;54578;1544,
CLOUD166,3785;3786;1645;5594,9356;53919,5742;5743;240;9356;8644,8644;7276;1646;2169
CLOUD167,79001,213,1558;1559;1576,213;5004
CLOUD168,5468;1147;3551;7398;834;2597;4170;51426;3248;23569;2099;598;3676;7421;7941,,5743;5742;240;4353;9446;1576;1557;2744,
CLOUD169,2230;2099;5241;367;140;405;150;8856;5914;3357;3362;10460;4780;2737;2100;2101;3777;6097;7253;59350;472;2908;9970;7157,6530;6531;6532;3757,1584;1576;1583,6462;866
CLOUD170,216;7458;1813,54658,1595;1559;1559;1576;1576;1558;54658,
CLOUD171,196;5914,213;5243,1558;1544;1576;1557;1576;1571;1571;1571;1559;1544;1565;1557;10;1548;1558;4353;5243,213;5243
CLOUD172,1509;6916,5243;5243;4363,1576;1576;1555;1557;1558;1559;1565;1577;5243;5243,5243;5243
CLOUD173,672;196;23173;9734;79915;10988;3630;6607;6256;2280;9970;2099;2101;5914,,1544;1544;1543,
CLOUD174,4864;10242;9734;3315;23569;1812;1813;4137;79915;4780;5021;2737;2099;2101;389816;387129;7157;3778;5315;196;3784;5914;6607;7253;59350;231;367;9970;55283;3061;7421,6573;6531;57468,1576;1588,6573
CLOUD175,7173;3779;2099;1733,,4353;1621;1544;1557;1559;1565,
CLOUD176,3614;3615;22978;5167;5167,2030;64078,132;132;2030,
CLOUD177,3091,153201,1644,
CLOUD178,3614;3615;22978;5167;5167;367;6097;3576;9970;2099;2101;7157;216;55775,2030;64078,132;132;2030,
CLOUD179,6240;760;768;763;50484,,1565;2744,
CLOUD180,3767;760;3778;6559;6833;3764,476;5243,759;2752;1544;5243;1565,476;5243
CLOUD181,6331;8856;6323,,1557;1557;1555;1544;1565;1558;1559,
CLOUD182,367;5335;2357,,1544,
CLOUD183,,,1588;1576;7498;5743;590,
CLOUD184,2554;6323;2897;760;762;2554;761;768;770;771;377677;23632;11238;361;6256;766;763;765;55879;2892;2901,,759;1557;1576,
CLOUD185,,,,
