Drug1,Drug2,MACCS_TanimotoSimilarity
CLOUD159,CLOUD080,0.189655172414
CLOUD159,CLOUD083,0.283783783784
CLOUD159,CLOUD082,0.452830188679
CLOUD233,CLOUD021,0.392405063291
CLOUD149,CLOUD108,0.5
CLOUD256,CLOUD131,0.391304347826
CLOUD256,CLOUD130,0.313432835821
CLOUD256,CLOUD133,0.203125
CLOUD256,CLOUD132,0.229885057471
CLOUD132,CLOUD088,0.16049382716
CLOUD132,CLOUD089,0.428571428571
CLOUD132,CLOUD086,0.443298969072
CLOUD132,CLOUD087,0.378378378378
CLOUD132,CLOUD084,0.433734939759
CLOUD132,CLOUD085,0.357142857143
CLOUD132,CLOUD082,0.256756756757
CLOUD132,CLOUD083,0.541666666667
CLOUD132,CLOUD080,0.148648648649
CLOUD132,CLOUD081,0.376470588235
CLOUD256,CLOUD137,0.492753623188
CLOUD174,CLOUD154,0.40243902439
CLOUD256,CLOUD136,0.246753246753
CLOUD127,CLOUD062,0.217948717949
CLOUD127,CLOUD063,0.35632183908
CLOUD127,CLOUD060,0.413043478261
CLOUD127,CLOUD061,0.426966292135
CLOUD127,CLOUD066,0.292134831461
CLOUD127,CLOUD067,0.436170212766
CLOUD127,CLOUD064,0.252873563218
CLOUD127,CLOUD065,0.303370786517
CLOUD127,CLOUD068,0.455555555556
CLOUD127,CLOUD069,0.428571428571
CLOUD174,CLOUD155,0.319444444444
CLOUD240,CLOUD073,0.484210526316
CLOUD240,CLOUD072,0.25
CLOUD240,CLOUD071,0.258064516129
CLOUD240,CLOUD070,0.368421052632
CLOUD240,CLOUD077,0.235294117647
CLOUD240,CLOUD076,0.292134831461
CLOUD240,CLOUD075,0.240506329114
CLOUD240,CLOUD074,0.157142857143
CLOUD240,CLOUD079,0.2
CLOUD240,CLOUD078,0.352941176471
CLOUD175,CLOUD174,0.36
CLOUD024,CLOUD020,0.192307692308
CLOUD024,CLOUD021,0.409090909091
CLOUD024,CLOUD022,0.256756756757
CLOUD024,CLOUD023,0.225806451613
CLOUD175,CLOUD172,0.340659340659
