Drug1,Drug2,Batch,InteractionType,Value,MahalanobisDistance
CLOUD112,CLOUD002,Batch2,Emergent,0.698397272007,8.30795878674
CLOUD112,CLOUD001,Batch2,Emergent,1.03548945012,8.28775503669
CLOUD180,CLOUD063,Batch1,Emergent,1.95679350206,5.39098336855
CLOUD128,CLOUD112,Batch2,Emergent,0.915896537314,5.39548630988
CLOUD236,CLOUD107,Batch1,Emergent,1.25795103964,5.88757570568
CLOUD206,CLOUD103,Batch1,Emergent,1.61592303276,4.29393745678
CLOUD236,CLOUD095,Batch1,Emergent,1.41441146021,8.07784807701
CLOUD117,CLOUD104,Batch2,Emergent,1.38270344935,5.51867610838
CLOUD184,CLOUD098,Batch1,Emergent,1.09929655695,6.77471666546
CLOUD150,CLOUD141,Batch1,Emergent,0.906794515248,4.52461634454
CLOUD150,CLOUD142,Batch2,Emergent,0.740493018401,7.71425720437
CLOUD248,CLOUD016,Batch1,Emergent,1.12493332285,6.26714879732
CLOUD042,CLOUD031,Batch2,Emergent,0.712217991178,6.64225324592
CLOUD209,CLOUD117,Batch2,Emergent,2.0211772585,17.6998982703
CLOUD052,CLOUD031,Batch2,Emergent,0.46452742579,4.31964233868
CLOUD144,CLOUD093,Batch1,Emergent,1.33649996051,7.83959798873
CLOUD143,CLOUD008,Batch1,Emergent,2.14123084924,6.4336670708
CLOUD099,CLOUD077,Batch2,Emergent,1.0736844689,9.15894487268
CLOUD204,CLOUD052,Batch2,Emergent,1.05939406331,20.0561655205
CLOUD143,CLOUD002,Batch1,Emergent,2.1714688142,8.48890039227
CLOUD143,CLOUD005,Batch1,Emergent,1.40725792229,4.93621803678
CLOUD114,CLOUD043,Batch1,Emergent,0.805968509298,4.33994177661
CLOUD129,CLOUD100,Batch2,Emergent,2.89815396178,8.19690528815
CLOUD129,CLOUD102,Batch2,Emergent,2.12851689045,9.39188037068
CLOUD049,CLOUD006,Batch2,Emergent,0.750095645652,9.21049259964
CLOUD078,CLOUD077,Batch2,Emergent,1.18631613955,8.38207263675
CLOUD227,CLOUD221,Batch2,Emergent,0.776530636142,7.37245725972
CLOUD063,CLOUD049,Batch1,Emergent,3.18931459458,10.3996617463
CLOUD209,CLOUD160,Batch1,Emergent,1.65633664623,5.21728566706
CLOUD063,CLOUD046,Batch1,Emergent,1.90338865378,4.30170754495
CLOUD215,CLOUD040,Batch1,Emergent,1.7429774804,6.76854411131
CLOUD184,CLOUD088,Batch1,Emergent,1.08449463823,3.89855969408
CLOUD211,CLOUD111,Batch1,Emergent,1.36955993556,6.45896438355
CLOUD211,CLOUD112,Batch1,Emergent,1.51953500693,6.64044036341
CLOUD261,CLOUD112,Batch1,Emergent,1.54267193234,9.76652382851
CLOUD184,CLOUD084,Batch1,Emergent,1.38943006675,7.24928283788
CLOUD211,CLOUD052,Batch1,Emergent,1.76783650153,10.0232700923
CLOUD197,CLOUD088,Batch1,Emergent,1.07428479489,5.46814954289
CLOUD254,CLOUD225,Batch1,Emergent,1.25597535909,8.44236064476
CLOUD149,CLOUD006,Batch2,Emergent,0.592818729911,8.32919323728
CLOUD154,CLOUD129,Batch2,Emergent,2.2662582141,14.1042336562
CLOUD069,CLOUD063,Batch2,Emergent,1.63268900558,6.2429746108
CLOUD266,CLOUD167,Batch1,Emergent,1.44309045075,6.95720478797
CLOUD204,CLOUD129,Batch2,Emergent,2.32432023634,8.80605363906
CLOUD200,CLOUD063,Batch2,Emergent,1.06586954804,4.6758913506
CLOUD076,CLOUD063,Batch1,Emergent,2.13221108527,6.14639494125
CLOUD101,CLOUD006,Batch2,Emergent,0.679422065271,6.71816119878
CLOUD151,CLOUD053,Batch2,Emergent,1.35658048084,4.40294314104
CLOUD241,CLOUD063,Batch2,Emergent,1.15330353959,3.93667465696
CLOUD199,CLOUD053,Batch1,Emergent,1.41252099585,3.32841791483
CLOUD209,CLOUD062,Batch2,Emergent,0.741770339661,4.36087381294
CLOUD209,CLOUD063,Batch2,Emergent,2.7657474085,10.8584053346
CLOUD142,CLOUD006,Batch1,Emergent,1.58940725882,8.1598545988
CLOUD209,CLOUD069,Batch2,Emergent,0.837548458797,5.33383673404
CLOUD123,CLOUD031,Batch2,Emergent,0.578929836909,4.56104953248
