Drug,NumberInteractions,NumberIncreasing,NumberDecreasing,NumberEmergent,Filtered,All,Filtered_MsigD_BP,Filtered_MsigD_MF,Filtered_Msig_ChemGen_Perturbation,Filtered_MsigD_CC,Filtered_MsigD_KeGG,All_MsigD_BP,All_MsigD_MF,All_Msig_ChemGen_Perturbation,All_MsigD_CC,All_MsigD_KeGG,Filtered_AvgDegree,All_AvgDegree,Filtered_AvgClustering,All_AvgClustering,Filtered_Disease,All_Disease,KeGG_Indirect,KeGG_Direct,SideEffects_TwoSide_CLOUDs.gml,SideEffects_CLOUD_to_Offsides,SideEffects_Drugbank_2018-07-03_CLOUD_Only.gml,SideEffects_CLOUD_to_SIDER,ATC_SecondLevel,ATC_FirstLevel,Enzymes,Transporters,Carriers
CLOUD094,4,2,2,0,0,3,0,0,0,0,0,111,18,144,23,1,nan,32.333333333333336,nan,0.0915307541431,0,208,7,0,0,0,3,0,1,1,3,0,0
CLOUD095,6,4,2,0,4,4,218,45,66,19,7,218,45,66,19,7,5.25,5.25,0.122222222222,0.122222222222,159,159,14,1,0,0,65,0,0,0,0,0,0
CLOUD096,1,0,0,1,4,6,628,47,70,59,6,668,61,111,60,8,29.5,28.5,0.0826432528045,0.180628381688,172,222,19,3,0,130,66,65,1,1,2,0,0
CLOUD097,7,4,1,2,4,6,106,39,95,22,1,139,43,130,26,2,45.0,35.5,0.0993719450775,0.0986366273526,59,124,6,0,0,0,3,0,1,1,2,0,0
CLOUD098,5,1,4,0,4,4,184,30,25,23,2,184,30,25,23,2,6.0,6.0,0.161111111111,0.161111111111,89,89,5,0,0,0,55,22,1,1,0,0,0
CLOUD099,6,1,4,1,0,5,0,0,0,0,0,306,35,229,17,15,nan,5.6,nan,0.0828571428571,0,204,26,0,0,161,57,112,1,1,5,0,0
CLOUD100,4,2,1,1,2,4,180,13,27,6,4,243,35,101,9,11,10.0,13.25,0.075,0.0815620782726,43,136,16,2,0,0,55,65,1,1,3,2,2
CLOUD101,10,2,4,4,43,47,1557,194,1017,102,60,1586,207,1075,112,65,165.85714285714286,155.30434782608697,0.0932717253684,0.0922500741498,797,853,144,1,0,0,2,0,0,0,3,0,1
CLOUD102,10,2,4,4,12,30,719,86,484,46,36,939,138,781,68,50,121.25,61.142857142857146,0.0920552015667,0.134842266133,567,670,100,1,30,539,10,47,1,1,14,8,0
CLOUD103,10,0,7,3,0,6,0,0,0,0,0,56,15,90,4,7,nan,7.333333333333333,nan,0.370573870574,0,114,10,0,0,0,86,0,1,1,10,0,0
CLOUD104,15,4,9,2,1,15,326,3,35,4,12,584,68,275,24,25,6.0,13.285714285714286,0.0666666666667,0.210420449944,200,380,50,0,7,293,58,99,1,1,15,5,2
