Drug1,Drug2,Batch,Plate,Well,S1,S2,C,Expected,Difference
CLOUD072,CLOUD025,Batch2,1315082,I20,0.021081489884666457,0.14100694163087826,0.10744672230775473,0.15911579510188562,-0.05166907279413088
CLOUD072,CLOUD026,Batch2,1315076,M20,0.021081489884666457,0.12648893930799782,0.2225103314156066,0.14490385389812052,0.07760647751748609
CLOUD072,CLOUD027,Batch2,1315112,B12,0.021081489884666457,0.11244361613051362,0,0.13115462705912934,-0.13115462705912934
CLOUD072,CLOUD028,Batch2,1315067,M06,0.021081489884666457,0.05822056559436037,0,0.07807467921436977,-0.07807467921436977
CLOUD072,CLOUD029,Batch1,1315034,E04,0.4343680738613264,0.18401070149899668,0,0.5384504013803325,-0.5384504013803325
CLOUD072,CLOUD030,Batch2,1315078,E23,0.021081489884666457,0,0.21076087837290342,0.021081489884666457,0.18967938848823696
CLOUD072,CLOUD031,Batch2,1315076,F11,0.021081489884666457,0.7633903249331497,0.7516408718904465,0.7683784094046857,-0.01673753751423923
CLOUD072,CLOUD032,Batch1,1315037,C23,0.4343680738613264,0.6651847188889325,0.5630221243000092,0.8106177876444853,-0.24759566334447614
CLOUD072,CLOUD033,Batch2,1315085,D20,0.021081489884666457,0.09097047781109056,0.07989628069038175,0.11013417448797924,-0.03023789379759749
CLOUD072,CLOUD034,Batch2,1315083,B24,0.021081489884666457,0.14391054209545426,0,0.16195818334263853,-0.16195818334263853
CLOUD072,CLOUD035,Batch2,1315096,O04,0.021081489884666457,0.046538638143856566,0.01020986954055598,0.06663902419924715,-0.05642915465869117
CLOUD072,CLOUD036,Batch1,1315007,L05,0.4343680738613264,0.1937154922558392,0.18020747268888274,0.5439397408688981,-0.36373226818001536
CLOUD072,CLOUD037,Batch1,1315037,G24,0.4343680738613264,0.2602064235223144,0.5639401450472781,0.5815491343919085,-0.0176089893446304
CLOUD072,CLOUD038,Batch2,1315073,F15,0.021081489884666457,0.22068714042622162,0,0.23711621659231671,-0.23711621659231671
CLOUD072,CLOUD039,Batch1,1315050,N15,0.4343680738613264,0.5962020170227276,0.02965207013678505,0.7715989691176541,-0.7419468989808691
CLOUD072,CLOUD040,Batch1,1315038,L13,0.4343680738613264,0.6603323235105113,0.07830716974203614,0.8078731179002026,-0.7295659481581664
CLOUD072,CLOUD041,Batch2,1315086,C17,0.021081489884666457,0.2535045782351512,0.19131350781946366,0.2692418139180367,-0.07792830609857304
